0,1,2,3
138,25,30,13
138,28,29,140
138,28,30,50
138,55,46,36
138,6,135,36
138,38,29,26
108,53,30,111
99,10,89,11
10,13,14,11
141,96,104,142
141,96,104,64
53,54,57,13
53,54,32,13
53,54,56,111
53,110,57,59
53,110,5,38
53,110,55,135
53,110,35,49
53,110,111,13
53,47,91,5
53,61,143,42
53,61,59,30
53,57,5,6
53,57,130,42
53,5,6,144
53,6,34,145
53,6,130,11
53,6,42,65
53,6,13,120
53,34,67,146
53,34,118,147
53,34,118,148
53,130,13,101
53,29,46,15
53,67,33,13
53,30,33,56
149,85,79,77
103,61,34,131
103,34,150,118
70,151,81,123
70,127,81,85
70,127,72,84
70,127,76,152
70,12,81,84
70,57,6,153
70,74,122,77
70,74,85,86
70,122,83,46
70,122,79,86
70,122,79,129
70,81,84,154
70,123,85,155
70,79,76,73
70,79,77,109
70,86,84,154
54,110,42,33
54,47,28,117
54,47,49,13
54,61,62,111
54,28,32,59
54,28,36,115
54,55,36,156
54,6,66,60
54,34,42,56
54,66,35,65
54,38,29,49
54,38,56,15
54,29,46,33
54,35,67,49
54,35,65,118
54,56,26,115
89,47,21,22
89,12,57,15
89,12,57,157
89,158,19,50
110,47,57,30
110,47,34,33
110,47,32,29
110,47,67,33
110,47,56,26
110,61,33,159
110,28,33,111
110,57,32,56
110,57,46,15
110,57,33,13
110,5,34,35
110,6,38,56
110,6,30,160
110,66,42,111
110,66,33,111
110,67,46,33
47,51,106,22
47,116,20,37
47,116,20,101
47,20,161,117
47,5,38,49
47,6,42,7
47,34,32,60
47,34,65,13
47,66,56,111
47,66,15,162
47,37,43,118
47,37,43,163
47,38,32,46
47,38,29,164
47,32,42,115
47,32,33,56
47,35,42,30
47,67,56,49
47,56,65,111
51,125,158,142
27,20,59,65
27,57,161,139
27,55,135,56
61,20,66,115
61,57,143,132
61,57,5,131
61,57,6,58
61,5,34,49
61,55,34,66
61,6,35,33
61,34,65,165
116,20,50,166
116,37,42,22
116,37,43,50
127,83,85,72
127,83,85,75
127,83,79,84
127,123,86,73
127,123,77,167
127,72,76,75
25,57,59,67
25,34,35,49
25,66,135,33
25,38,30,111
25,32,60,168
25,29,60,115
25,67,30,111
91,20,5,42
91,57,130,118
12,122,85,86
12,122,86,84
12,169,150,170
62,34,29,13
62,66,29,56
28,34,111,165
28,37,117,29
28,135,42,26
28,38,35,31
28,130,46,33
171,55,42,64
20,5,130,172
20,5,15,134
20,6,37,41
20,6,43,153
20,6,118,173
20,34,35,49
20,117,46,174
20,29,35,26
20,60,33,50
175,34,169,176
57,143,65,120
57,6,34,130
57,6,66,46
57,6,67,173
57,34,118,13
57,38,32,130
57,38,35,43
57,59,65,49
57,46,60,31
5,55,6,46
5,6,37,125
5,6,38,177
5,6,38,33
5,6,130,131
5,34,130,101
5,29,67,56
55,161,42,56
55,56,111,49
6,34,29,46
6,34,15,101
6,66,32,49
6,38,35,26
6,130,36,118
6,29,56,65
6,56,111,115
34,66,42,36
34,32,29,13
34,29,59,26
34,29,46,111
34,29,36,178
34,59,36,33
34,35,30,111
34,67,111,49
66,38,29,13
66,29,59,50
37,46,30,31
37,46,26,172
74,85,79,179
74,85,72,84
135,130,59,50
38,29,42,49
38,29,30,180
38,29,36,181
38,35,42,49
38,35,15,13
38,42,36,172
32,67,42,30
32,67,42,13
32,67,26,65
122,85,72,182
81,85,76,75
81,79,76,75
83,85,76,77
83,72,86,109
130,59,33,56
130,59,33,15
130,35,30,65
130,35,36,56
130,36,65,111
29,59,67,119
29,46,56,13
123,85,86,77
35,36,33,49
35,36,49,183
67,65,49,165
42,46,30,49
42,46,33,15
46,26,49,13
85,72,76,184
85,72,76,75
86,84,77,109
185,186,187,188
185,189,190,191
185,189,191,192
185,193,188,194
185,195,196,197
185,198,197,199
185,200,201,194
185,202,194,203
185,204,205,194
185,206,207,194
185,190,208,209
185,196,210,203
185,207,211,212
185,213,214,192
185,213,203,199
185,210,215,216
185,217,218,199
185,219,215,192
185,214,192,199
220,221,222,223
220,222,224,223
220,222,225,226
221,222,224,227
228,186,195,208
228,195,202,211
228,195,202,229
228,195,196,214
228,195,219,191
228,195,212,199
228,195,192,203
228,230,202,215
228,230,187,194
228,198,210,229
228,200,211,209
228,202,187,209
228,231,196,232
228,207,233,218
228,208,234,191
228,235,197,205
228,197,219,212
228,229,234,219
228,205,214,218
228,216,199,209
236,186,235,214
236,189,187,206
236,195,198,203
236,195,196,217
236,195,196,216
236,230,198,205
236,230,201,199
236,230,212,192
236,237,231,216
236,198,219,216
236,231,190,192
236,231,197,219
236,231,191,238
236,206,239,209
236,207,208,235
236,208,215,239
236,240,219,192
236,217,219,215
236,217,212,239
241,242,1,3
241,242,1,243
241,244,1,243
245,246,247,243
248,244,249,1
248,249,2,250
246,251,1,247
242,249,1,2
186,189,231,210
186,189,190,215
186,189,205,192
186,189,194,209
186,193,230,209
186,193,240,192
186,193,219,212
186,195,237,208
186,195,201,216
186,195,216,252
186,195,191,199
186,237,235,191
186,198,206,234
186,198,188,212
186,200,210,212
186,200,214,238
186,204,187,197
186,206,201,197
186,206,218,238
186,190,188,252
186,207,233,212
186,208,215,214
186,201,205,217
186,211,219,192
186,214,203,209
186,216,203,238
253,254,255,256
257,258,259,260
254,261,255,262
254,263,264,265
261,266,255,267
261,266,255,265
267,263,256,268
269,270,271,272
269,270,271,273
269,274,275,276
269,274,277,278
269,274,277,279
269,274,277,280
269,274,281,282
269,275,283,284
269,277,285,286
269,277,285,287
269,288,289,290
269,288,291,292
269,286,293,294
269,286,295,296
269,286,295,297
269,286,295,298
269,272,299,300
269,282,301,302
269,293,303,304
270,271,274,305
270,271,275,306
270,271,307,272
270,271,278,282
270,271,308,309
270,271,310,311
270,271,310,312
270,271,313,314
270,271,313,315
270,271,316,317
270,271,276,318
270,271,299,319
270,271,299,320
270,274,275,321
270,274,311,293
270,275,277,291
270,275,278,295
270,275,310,322
270,275,310,317
270,275,323,289
270,275,323,324
270,277,278,283
270,277,285,301
270,277,289,295
270,307,283,276
270,307,325,319
270,307,325,326
270,307,327,305
270,307,323,273
270,307,295,301
270,307,295,328
270,278,285,321
270,278,283,291
270,278,288,329
270,278,308,330
270,278,316,331
270,278,276,273
270,285,283,301
270,285,283,300
270,285,288,316
270,285,325,332
270,285,327,284
270,285,327,287
270,285,311,333
270,285,321,273
270,283,325,334
270,283,325,300
270,283,325,335
270,283,327,289
270,283,327,299
270,283,272,336
270,283,337,317
270,288,325,303
270,288,316,338
270,288,282,339
270,340,310,323
270,340,289,273
270,310,316,341
270,310,311,282
270,310,276,342
270,310,304,314
270,310,304,343
270,325,276,304
270,281,272,304
270,281,316,337
270,281,311,321
270,281,291,344
270,286,303,345
270,272,276,346
270,316,289,334
270,316,299,321
270,311,276,347
270,311,293,348
270,311,299,337
270,311,299,349
270,289,293,350
270,289,295,300
270,293,351,352
270,299,301,353
270,295,337,344
270,321,304,351
270,321,304,354
355,307,311,315
271,274,277,356
271,274,277,326
271,274,277,321
271,274,277,331
271,274,278,311
271,274,283,357
271,274,283,342
271,274,327,337
271,274,327,358
271,274,295,359
271,275,283,303
271,275,360,296
271,275,316,331
271,275,293,328
271,275,295,361
271,277,340,276
271,277,340,362
271,277,360,363
271,277,289,276
271,307,285,364
271,307,360,287
271,307,281,321
271,307,363,291
271,307,363,365
271,307,311,366
271,307,293,367
271,307,299,295
271,307,295,366
271,307,295,368
271,278,281,302
271,278,311,366
271,278,295,324
271,285,284,364
271,285,284,303
271,285,311,305
271,285,289,369
271,285,299,305
271,283,281,338
271,283,293,370
271,283,293,369
271,283,301,338
271,283,337,317
271,283,304,371
271,288,340,372
271,288,310,276
271,288,323,272
271,288,323,373
271,288,316,321
271,310,360,351
271,325,272,374
271,325,276,319
271,325,276,375
271,325,301,300
271,356,282,291
271,281,303,314
271,327,370,376
271,363,311,377
271,323,301,378
271,323,301,379
271,272,311,380
271,272,311,381
271,272,311,382
271,272,301,371
271,316,311,317
271,316,276,334
271,316,299,332
271,282,291,312
271,289,303,354
271,289,304,351
271,295,370,383
271,295,321,384
271,301,326,348
271,301,321,320
274,275,289,295
274,275,289,312
274,277,285,321
274,277,360,313
274,277,360,366
274,307,283,385
274,307,276,386
274,278,316,387
274,278,282,357
274,278,295,388
274,285,283,342
274,285,310,389
274,285,293,390
274,285,347,298
274,283,288,327
274,283,310,337
274,283,323,391
274,283,323,392
274,283,316,314
274,283,319,305
274,283,321,332
274,288,310,325
274,288,325,276
274,288,311,393
274,288,301,341
274,288,337,304
274,310,325,311
274,310,281,394
274,310,282,395
274,310,321,320
274,325,272,380
274,356,301,396
274,281,303,388
274,284,295,397
274,363,301,398
274,323,289,334
274,323,289,399
274,323,289,400
274,323,299,326
274,323,299,324
274,323,295,321
274,272,311,370
274,272,276,334
274,272,299,392
274,316,293,304
274,316,321,372
274,311,282,301
274,311,276,295
274,311,276,380
274,289,276,359
274,289,276,401
274,289,301,332
274,295,370,371
274,295,380,402
274,303,321,334
274,292,304,306
274,292,304,403
275,277,285,310
275,277,310,323
275,277,325,305
275,277,325,337
275,277,272,380
275,277,316,291
275,277,311,295
275,277,299,365
275,307,288,289
275,307,288,404
275,307,288,292
275,307,288,300
275,307,310,317
275,307,272,364
275,307,272,366
275,307,311,317
275,278,310,276
275,278,310,293
275,278,405,406
275,285,327,365
275,285,293,385
275,285,293,342
275,285,301,390
275,283,325,362
275,283,325,301
275,283,272,358
275,288,340,407
275,288,325,370
275,310,272,316
275,310,272,380
275,310,276,279
275,325,281,309
275,325,281,384
275,356,299,290
275,286,276,346
275,272,295,380
275,311,293,295
275,311,304,397
275,289,321,408
275,301,380,354
277,307,286,319
277,307,295,344
277,278,288,286
277,278,288,301
277,278,340,409
277,278,340,295
277,278,299,366
277,278,299,326
277,278,295,370
277,278,321,410
277,285,323,408
277,285,272,324
277,285,316,320
277,285,411,333
277,283,289,366
277,288,289,399
277,325,289,332
277,281,286,291
277,327,289,333
277,272,293,321
277,272,293,412
277,311,301,342
277,289,301,326
277,276,303,300
277,293,301,273
277,293,301,413
277,299,301,395
307,278,295,411
307,285,288,370
307,285,310,335
307,285,356,414
307,285,311,312
307,285,303,337
307,285,337,344
307,283,288,395
307,283,288,415
307,283,325,356
307,283,311,301
307,283,311,407
307,283,299,416
307,283,299,292
307,283,299,304
307,283,321,304
307,288,327,272
307,288,327,304
307,288,286,417
307,288,286,418
307,288,276,366
307,310,295,290
307,310,295,292
307,310,295,338
307,310,321,400
307,325,281,299
307,325,327,321
307,325,311,375
307,325,293,366
307,325,319,301
307,325,326,419
307,356,272,295
307,356,272,321
307,356,289,303
307,356,299,337
307,327,363,392
307,286,295,290
307,286,295,344
307,363,299,346
307,363,321,304
307,323,272,321
307,272,311,303
307,272,276,273
307,272,293,303
307,272,301,407
307,316,337,354
307,311,289,351
307,289,276,365
307,289,304,395
307,289,304,317
307,293,301,420
307,370,309,326
307,370,309,337
307,370,301,321
307,370,301,352
307,303,304,341
278,285,356,301
278,285,356,421
278,285,356,342
278,285,422,423
278,283,370,312
278,288,356,351
278,288,366,424
278,340,310,324
278,340,286,273
278,310,286,377
278,325,425,336
278,360,323,426
278,327,363,311
278,272,276,337
278,272,276,390
278,272,295,427
278,316,370,400
278,316,366,303
278,316,301,326
278,316,301,314
278,366,304,317
285,283,288,286
285,283,288,276
285,283,325,338
285,283,287,304
285,283,311,428
285,283,299,312
285,283,295,429
285,283,295,430
285,288,310,343
285,288,325,314
285,288,360,311
285,288,281,408
285,288,311,338
285,288,299,390
285,288,337,424
285,308,311,431
285,310,311,301
285,310,293,390
285,310,337,300
285,310,337,419
285,325,405,316
285,356,301,304
285,356,301,342
285,281,316,303
285,281,369,300
285,327,311,302
285,327,295,377
285,363,299,302
285,363,321,390
285,323,295,298
285,272,276,338
285,272,299,395
285,272,366,334
285,311,321,388
285,311,321,317
285,311,304,432
285,289,299,337
285,289,337,345
285,276,295,371
285,276,295,415
285,295,301,433
285,301,411,338
283,288,325,301
283,288,325,400
283,288,356,305
283,288,356,416
283,288,272,289
283,288,272,399
283,288,282,434
283,288,295,331
283,310,435,313
283,310,325,436
283,310,325,293
283,310,325,338
283,310,311,324
283,310,366,411
283,310,366,337
283,310,366,403
283,325,356,323
283,325,286,346
283,325,380,347
283,325,380,437
283,356,327,422
283,356,272,315
283,272,289,342
283,272,299,338
283,272,321,415
283,272,304,418
283,316,295,347
283,316,295,320
283,311,301,411
283,311,301,317
283,289,319,380
283,299,295,402
283,299,370,304
283,299,321,315
283,295,370,438
283,295,301,392
283,295,301,342
283,295,337,324
283,411,292,374
288,340,325,298
288,340,316,291
288,310,327,313
288,310,327,296
288,310,289,370
288,310,293,302
288,310,337,369
288,325,380,388
288,286,363,439
288,286,272,407
288,286,272,383
288,363,411,321
288,272,316,338
288,272,282,409
288,272,282,370
288,316,301,351
288,311,293,273
288,293,337,351
288,299,370,410
288,295,370,292
288,319,321,387
288,309,366,345
288,366,411,326
288,366,292,335
340,310,319,337
340,325,293,440
340,286,366,303
340,311,273,292
340,282,301,312
310,325,295,347
310,327,272,357
310,323,321,390
310,272,304,372
310,316,321,334
310,316,321,338
310,311,289,326
310,301,337,351
310,301,337,300
310,411,321,417
325,281,311,299
325,281,311,441
325,281,299,332
325,363,272,299
325,323,370,309
325,323,370,442
325,316,299,309
325,316,319,357
325,311,293,336
325,276,411,334
325,276,321,304
325,295,300,338
325,309,337,314
360,323,311,359
360,272,316,426
360,272,316,332
356,289,370,366
356,295,309,346
356,295,309,398
356,295,309,342
281,327,363,442
281,327,363,320
281,276,293,385
281,299,295,370
327,286,282,321
327,316,334,358
327,311,289,291
327,311,289,362
286,363,295,279
286,316,289,299
286,301,273,279
313,272,295,321
363,272,289,309
363,272,301,428
363,311,299,294
363,299,409,407
323,316,351,332
323,293,295,303
323,295,321,399
272,316,289,295
272,316,301,371
272,311,289,443
272,311,299,420
272,311,408,279
272,289,295,428
272,299,295,366
272,299,321,416
272,301,380,341
444,445,446,447
444,445,448,449
444,445,450,451
444,445,452,453
444,445,454,455
444,445,454,456
444,445,457,458
444,459,460,461
444,459,452,462
444,461,463,464
444,449,465,451
444,466,467,451
444,468,469,462
444,468,458,470
444,471,472,462
444,473,469,474
444,475,476,474
444,477,478,451
444,479,457,480
444,479,457,470
444,478,481,457
444,476,467,482
444,467,457,451
444,467,457,483
444,450,455,484
444,472,457,451
444,452,485,455
444,474,486,457
444,454,451,484
487,488,446,452
445,489,459,490
445,446,448,491
445,448,457,458
445,463,492,462
445,493,474,490
445,491,466,469
445,491,485,458
445,491,457,455
445,468,450,452
445,473,485,494
445,495,485,451
445,477,479,474
445,477,465,474
445,477,474,457
445,477,486,455
445,479,467,474
445,479,474,455
445,496,469,484
445,467,472,485
445,450,486,457
445,450,451,455
445,469,458,497
445,472,454,483
445,452,455,498
445,465,486,457
445,485,486,457
445,485,486,490
445,499,494,500
445,486,462,455
445,486,501,502
445,457,462,494
445,458,451,447
316,311,351,344
316,311,351,317
316,289,276,361
316,289,366,321
316,289,366,395
316,289,337,317
316,276,291,279
316,276,299,337
316,276,366,503
316,276,366,504
311,289,299,336
311,276,366,408
311,293,291,419
311,301,351,504
311,304,351,433
282,276,303,505
282,380,321,297
189,193,200,204
189,193,202,231
189,193,233,188
189,198,200,197
189,198,201,215
189,198,219,194
189,202,206,207
189,202,196,199
189,204,219,194
189,187,215,252
189,207,235,216
189,208,229,205
189,235,205,252
189,213,210,214
189,213,219,194
189,210,233,209
189,233,214,199
189,188,218,199
189,217,215,214
289,299,295,506
289,409,321,342
289,295,319,380
289,319,273,302
289,321,337,320
289,321,304,328
289,321,304,300
489,459,446,492
489,459,446,481
489,459,446,457
489,507,446,508
489,507,509,447
489,446,460,510
489,446,509,511
489,448,493,458
489,492,493,510
459,507,460,448
459,507,448,509
459,507,463,492
459,507,493,474
459,446,460,455
459,446,448,492
459,460,448,509
459,460,448,512
459,460,492,513
459,448,463,511
459,448,514,451
459,463,509,449
459,463,493,514
459,492,509,450
459,467,469,451
459,486,457,490
507,446,448,463
507,446,448,493
507,446,448,458
507,446,509,478
507,446,508,457
507,446,458,462
507,460,474,485
507,448,492,493
507,448,493,514
507,448,508,464
507,463,508,486
507,493,514,490
507,468,452,458
507,474,486,458
446,460,448,508
446,460,448,515
446,460,492,514
446,460,493,508
446,460,508,449
446,460,466,499
446,461,448,463
446,448,463,509
446,448,508,466
446,492,457,462
446,509,464,467
446,493,452,458
446,452,458,455
460,448,492,516
460,463,509,508
460,463,514,455
460,493,486,490
460,508,465,490
460,510,512,511
448,463,508,491
448,492,464,491
448,493,491,455
448,508,514,490
448,464,450,462
448,474,490,458
463,509,490,451
492,509,508,457
509,493,514,464
509,493,514,512
509,493,464,512
493,465,457,455
493,510,512,511
493,486,457,455
276,295,370,324
276,303,304,410
276,301,337,437
514,490,458,462
464,510,512,511
293,299,301,273
293,300,408,420
491,449,452,494
491,466,457,458
491,467,469,457
491,474,458,470
491,474,451,462
449,467,457,494
449,450,486,517
449,486,457,455
466,474,490,462
193,195,203,238
193,230,191,218
193,198,235,233
193,198,229,199
193,200,202,219
193,200,232,219
193,200,218,203
193,204,214,212
193,231,210,192
193,231,216,238
193,190,208,217
193,207,208,211
193,208,234,215
193,201,188,203
193,210,219,238
193,233,205,234
193,194,191,199
193,218,199,238
195,230,199,252
195,237,240,216
195,198,204,203
195,198,213,233
195,198,219,239
195,200,212,252
195,204,212,191
195,231,197,229
195,231,240,212
195,190,235,233
195,190,197,229
195,207,235,194
195,208,213,239
195,201,205,234
195,235,211,234
195,240,194,216
195,229,188,238
195,219,216,238
230,202,188,192
230,204,197,191
230,231,201,219
230,231,233,217
230,187,190,214
230,196,217,214
230,207,210,233
230,201,211,240
230,210,233,205
230,210,233,238
230,210,229,191
230,197,191,192
230,229,215,239
230,217,216,203
230,214,238,252
230,192,199,238
237,198,192,209
237,202,233,218
237,202,229,194
237,187,211,216
237,187,194,209
237,206,240,199
237,207,188,199
237,208,201,216
237,213,188,194
237,210,212,239
237,233,211,232
237,233,240,217
237,229,214,194
237,232,217,203
237,205,215,212
237,205,212,192
237,215,212,252
237,191,239,209
198,200,197,239
198,202,197,240
198,202,197,216
198,202,212,238
198,187,235,192
198,206,215,218
198,206,214,199
198,190,208,233
198,196,201,213
198,210,215,192
198,211,197,238
198,229,214,252
198,229,191,203
198,232,234,216
198,232,191,239
198,194,239,238
200,204,216,218
200,231,235,215
200,208,197,205
200,208,188,194
200,210,215,218
200,229,232,217
200,219,199,209
200,215,216,209
200,239,192,218
202,204,211,234
202,204,205,203
202,231,190,217
202,231,219,215
202,196,207,233
202,196,234,199
202,201,235,233
202,201,235,192
202,235,215,194
202,210,205,191
202,233,232,252
202,211,205,192
202,215,214,209
202,215,194,239
202,215,191,192
202,215,191,218
204,231,232,192
204,206,196,192
204,206,240,234
204,208,211,192
204,235,213,212
204,210,240,232
204,210,240,234
204,205,216,192
204,234,203,199
231,187,211,234
231,187,232,218
231,196,219,203
231,207,219,214
231,207,239,218
231,208,235,194
231,208,205,203
231,235,188,216
231,233,229,203
231,197,216,199
231,229,212,218
231,215,194,209
231,215,203,518
231,191,239,192
187,190,196,191
187,196,234,219
187,207,233,219
187,207,197,252
187,208,210,192
187,208,211,239
187,235,229,216
187,235,216,209
187,213,233,239
187,210,229,199
187,234,191,239
206,190,208,240
206,208,197,239
206,208,205,219
206,208,205,239
206,208,205,203
206,210,197,192
206,211,205,252
206,240,229,209
206,219,215,194
190,196,213,209
190,207,252,209
190,208,229,232
190,211,191,209
190,194,192,209
196,207,232,239
196,207,219,203
196,208,213,232
196,201,211,203
196,213,232,215
196,233,240,217
196,233,232,219
196,217,218,252
207,188,232,194
207,188,219,216
207,232,217,194
207,232,216,209
207,205,234,252
207,217,215,203
207,194,216,238
208,233,229,232
201,235,205,214
201,210,215,218
201,211,229,203
201,240,194,238
235,213,211,216
235,210,212,199
235,240,214,194
235,232,203,209
213,211,217,239
213,211,217,218
299,366,303,337
295,301,337,392
319,337,304,519
210,233,240,215
210,233,240,238
210,233,232,219
210,197,219,214
210,215,212,252
233,232,234,194
211,197,240,217
211,197,217,218
197,217,214,238
240,232,219,216
240,205,219,215
240,217,214,209
229,232,219,216
229,215,192,199
229,214,252,209
188,205,214,192
188,194,216,192
188,239,192,218
232,234,219,194
234,217,212,192
468,471,495,452
468,471,467,455
468,471,451,494
468,520,467,472
468,520,467,490
468,473,495,458
468,473,501,484
468,521,475,474
468,495,479,472
468,495,479,486
468,495,479,501
468,495,496,522
468,477,469,485
468,477,474,462
468,523,481,472
468,523,457,501
468,479,450,486
468,478,472,474
468,478,499,490
468,478,454,458
468,481,476,451
468,481,476,453
468,481,469,524
468,481,469,502
468,481,485,455
468,476,455,494
468,467,469,465
468,467,465,499
468,450,469,494
468,450,452,465
468,450,485,455
468,450,485,501
468,450,486,458
468,469,474,490
468,472,452,457
468,472,465,457
468,465,462,498
468,474,486,494
468,499,486,525
468,486,451,494
468,490,462,455
468,497,522,456
471,520,476,480
471,520,457,490
471,473,469,485
471,521,478,457
471,475,479,450
471,475,494,482
471,495,450,499
471,495,450,454
471,495,469,490
471,477,479,476
471,477,465,490
471,477,486,482
471,523,481,469
471,523,497,524
471,478,476,450
471,481,458,494
471,496,455,482
471,467,472,525
471,467,465,458
471,467,499,522
471,450,474,524
471,452,457,525
471,465,457,482
471,465,455,482
471,465,482,498
471,474,455,453
471,499,494,497
471,490,455,453
520,521,523,517
520,521,478,450
520,521,467,450
520,475,496,474
520,495,478,469
520,495,476,483
520,495,490,458
520,479,469,472
520,478,450,474
520,478,472,465
520,478,472,451
520,478,472,482
520,478,484,470
520,481,452,498
520,481,465,455
520,476,450,517
520,467,450,501
520,467,474,485
520,450,474,499
520,474,486,456
520,457,455,498
520,451,494,522
520,455,501,484
520,494,497,498
473,521,523,478
473,521,523,472
473,521,476,458
473,521,452,502
473,475,495,450
473,475,490,455
473,475,490,522
473,495,472,497
473,477,490,494
473,523,452,458
473,523,458,498
473,479,476,472
473,479,472,457
473,478,457,497
473,481,476,483
473,496,526,452
473,496,501,456
473,469,472,452
473,469,472,494
473,469,458,482
473,452,457,451
473,474,490,455
473,462,494,522
521,495,499,486
521,495,499,455
521,495,482,501
521,477,452,499
521,477,474,486
521,479,476,451
521,479,472,452
521,479,486,462
521,476,467,452
521,467,450,490
521,467,452,486
521,467,499,454
521,467,457,490
521,469,494,501
521,499,462,455
521,454,462,498
521,490,451,498
521,490,455,494
475,477,479,499
475,523,479,452
475,479,478,482
475,479,472,501
475,476,467,500
475,452,525,453
475,451,482,501
475,522,524,498
495,477,478,465
495,477,452,457
495,477,485,486
495,523,476,465
495,479,486,451
495,478,469,486
495,481,472,485
495,476,467,465
495,476,485,490
495,476,490,458
495,476,490,501
495,467,486,522
495,467,497,498
495,450,486,458
495,469,474,457
495,472,485,457
495,452,499,454
495,474,457,490
495,499,490,494
495,499,490,500
477,523,476,467
477,523,472,499
477,478,517,483
477,481,474,483
477,467,472,490
477,452,474,486
477,465,486,455
477,465,486,470
477,457,451,462
477,451,522,502
477,462,494,470
523,478,452,454
523,478,452,470
523,481,472,497
523,481,451,502
523,465,485,522
523,454,482,502
523,501,497,524
523,517,483,524
479,467,450,458
479,472,465,490
479,472,499,455
479,472,482,483
479,465,485,457
479,499,490,451
479,486,457,517
479,486,490,458
479,486,458,494
479,486,455,482
478,481,467,469
478,481,467,483
478,467,526,497
478,467,457,494
478,450,499,458
478,469,474,490
478,452,485,455
478,465,485,490
478,482,517,524
481,476,522,480
481,496,490,483
481,496,490,480
481,450,474,485
481,450,474,457
481,452,462,517
481,474,499,458
481,457,490,494
476,467,457,451
476,450,469,485
476,526,462,456
476,472,517,525
476,452,494,502
476,465,474,462
476,485,486,524
476,486,458,455
476,457,455,494
516,527,512,511
516,510,528,512
304,351,338,317
496,467,499,502
496,450,485,454
496,450,458,455
496,450,462,455
496,469,490,470
496,469,455,501
496,526,499,501
496,526,490,522
496,472,457,462
496,472,458,498
496,474,458,497
496,499,454,451
496,486,457,490
467,469,465,462
467,472,474,462
467,472,474,455
467,472,490,462
467,472,451,462
467,472,482,453
467,472,501,502
467,452,485,482
467,452,486,458
467,465,462,455
467,474,457,458
467,474,490,494
467,485,486,458
467,485,451,462
467,454,522,524
467,454,522,470
467,490,462,524
467,462,455,522
529,510,530,531
450,526,454,456
450,472,485,462
450,472,482,453
450,452,490,462
450,465,454,455
450,499,457,483
450,454,458,525
450,486,457,517
450,457,458,482
450,490,451,494
450,490,462,497
450,458,451,494
469,452,474,482
469,452,485,486
469,452,454,470
469,452,462,453
469,474,485,482
469,499,457,455
469,499,501,456
469,457,501,525
469,501,483,524
526,472,482,501
526,485,454,517
526,485,484,502
526,499,451,455
472,452,458,497
472,465,458,483
472,485,517,483
472,458,462,455
472,501,484,525
472,483,525,502
215,212,191,203
215,199,209,518
