event_id,time,location_id,group_id
ddzmxdyrcbmc,2013-01-30 00:00:00,5598512,55272
99916152,2013-01-30 01:30:00,841815,22211
dlgzpcyrcbnc,2013-01-31 00:00:00,1027268,22211
xvgznyrcbnc,2013-01-31 01:00:00,505757,63782
qpkpwdyrcbnc,2013-01-31 01:00:00,279780,22211
95908752,2013-02-01 01:00:00,11234902,22211
qcgtwdyrdbcb,2013-02-02 00:30:00,766443,22211
100542012,2013-02-03 18:00:00,11267592,45720
102388882,2013-02-03 21:00:00,769515,55272
101226582,2013-02-06 00:30:00,766443,22211
gpvvqyrdbhb,2013-02-06 00:30:00,250527,61473
vmrhnyrdbhb,2013-02-06 00:30:00,250527,22211
dlgzpcyrdbjb,2013-02-07 00:00:00,1027268,22211
xvgznyrdbjb,2013-02-07 01:00:00,505757,63782
qzdnmcyrdbkb,2013-02-08 00:00:00,4693172,22211
99872152,2013-02-09 00:00:00,11038132,33104
96862852,2013-02-10 00:00:00,9084422,67696
qsrzzdyrdbnb,2013-02-10 21:00:00,769515,55272
97165142,2013-02-10 21:00:00,667584,54258
101212852,2013-02-11 01:00:00,11347312,22211
dhthkfyrdbqb,2013-02-13 00:00:00,5598512,55272
104205062,2013-02-13 03:00:00,11689222,25709
dlkshfyrdbpb,2013-02-13 23:00:00,1471977,22211
103262632,2013-02-14 01:00:00,924837,33104
xvgznyrdbrb,2013-02-14 01:00:00,505757,63782
101211252,2013-02-16 05:45:00,1051515,22211
qsrzzdyrdbwb,2013-02-17 21:00:00,769515,55272
102941502,2013-02-18 02:00:00,6157032,33104
100243722,2013-02-19 01:00:00,250527,22211
qqqxrcyrdbzb,2013-02-20 00:00:00,1027268,22211
dhthkfyrdbzb,2013-02-20 00:00:00,5598512,55272
104851262,2013-02-20 01:00:00,924837,33104
dlgzpcyrdbbc,2013-02-21 00:00:00,1027268,22211
xvgznyrdbbc,2013-02-21 01:00:00,505757,63782
dxbhdfyrdbcc,2013-02-22 00:00:00,5598512,55272
qzdnmcyrdbcc,2013-02-22 00:00:00,4693172,22211
dlgzpcyrgbfb,2013-04-03 23:00:00,1027268,22211
105106592,2013-02-22 04:30:00,5616352,25709
103245812,2013-02-23 01:00:00,879477,67696
104258442,2013-02-23 21:00:00,769515,55272
102398252,2013-02-24 23:30:00,5772722,67696
98009132,2013-02-23 22:00:00,1235383,45720
104757582,2013-02-24 01:00:00,310260,45720
qsrzzdyrdbgc,2013-02-24 21:00:00,769515,55272
qzdctdyrdbhc,2013-02-26 00:00:00,3855382,22211
104121792,2013-02-27 01:00:00,279780,22211
103030242,2013-02-27 01:00:00,11567182,71156
qpkpwdyrdbkc,2013-02-28 00:00:00,1521693,22211
dlgzpcyrdbkc,2013-02-28 00:00:00,1027268,22211
xvgznyrdbkc,2013-02-28 01:00:00,505757,63782
dxbhdfyrdblc,2013-03-01 00:00:00,5598512,55272
105745792,2013-03-01 01:00:00,924837,33104
100494842,2013-03-01 01:00:00,279780,22211
qcgtwdyrfbcb,2013-03-02 00:30:00,766443,22211
qcgtwdyrgbhb,2013-04-05 23:30:00,766443,22211
106721962,2013-03-03 00:00:00,1521693,22211
106554742,2013-03-03 17:30:00,1335513,45720
qjptlfyrfbfb,2013-03-03 19:30:00,769515,55272
dgqtlfyrfbfb,2013-03-03 21:00:00,769515,55272
99998582,2013-03-04 00:00:00,962332,22211
105372062,2013-03-04 01:00:00,11824012,22211
97943642,2013-03-05 01:00:00,279780,22211
kjzmnyrfbgb,2013-03-05 01:00:00,554311,67696
vmrhnyrfbhb,2013-03-06 00:30:00,250527,22211
gpvvqyrfbhb,2013-03-06 00:30:00,250527,61473
dlgzpcyrfbjb,2013-03-07 00:00:00,1027268,22211
108477692,2013-03-12 00:00:00,924837,33104
xvgznyrfbjb,2013-03-07 01:00:00,505757,63782
107134402,2013-03-07 01:00:00,924837,33104
dxbhdfyrfbkb,2013-03-08 00:00:00,5598512,55272
qzdnmcyrfbkb,2013-03-08 00:00:00,4693172,22211
109558812,2013-03-30 19:00:00,12296372,22211
106584532,2013-03-09 16:00:00,250527,22211
qnxcmfyrfbmb,2013-03-09 21:00:00,769515,55272
106232822,2013-03-10 01:00:00,1197584,45720
95588142,2013-03-10 17:00:00,1601416,54258
qjptlfyrfbnb,2013-03-10 18:30:00,769515,55272
dgqtlfyrfbnb,2013-03-10 20:00:00,769515,55272
105372342,2013-03-10 22:00:00,11824012,22211
qsmbpfyrfbqb,2013-03-12 23:00:00,5598512,55272
dlgzpcyrfbrb,2013-03-13 23:00:00,1027268,22211
dlkshfyrfbrb,2013-03-14 00:00:00,1471977,22211
xvgznyrfbrb,2013-03-14 00:00:00,505757,63782
dzhdpfyrfbrb,2013-03-14 00:30:00,841815,22211
dxbhdfyrfbsb,2013-03-14 23:00:00,5598512,55272
100495922,2013-03-15 00:00:00,279780,22211
106233862,2013-03-16 00:00:00,10882752,45720
xvgznyrfbbc,2013-03-21 00:00:00,505757,63782
qjptlfyrfbwb,2013-03-17 18:30:00,769515,55272
dgqtlfyrfbwb,2013-03-17 20:00:00,769515,55272
107719952,2013-03-18 23:30:00,8139722,71156
107060052,2013-03-19 00:00:00,250527,22211
qqqxrcyrfbzb,2013-03-19 23:00:00,1027268,22211
qsmbpfyrfbzb,2013-03-19 23:00:00,5598512,55272
dlgzpcyrfbbc,2013-03-20 23:00:00,1027268,22211
109633402,2013-03-21 00:00:00,924837,33104
dxbhdfyrfbcc,2013-03-21 23:00:00,5598512,55272
105627332,2013-03-21 23:00:00,7647552,71156
qzdnmcyrfbcc,2013-03-21 23:00:00,4693172,22211
106291922,2013-03-23 00:00:00,879477,67696
108589472,2013-03-24 00:00:00,577631,45720
qnnmlfyrfbhc,2013-03-25 23:00:00,3855382,22211
105374872,2013-03-29 00:00:00,8111322,22211
qsmbpfyrfbjc,2013-03-26 23:00:00,5598512,55272
107278172,2013-03-27 00:00:00,279780,22211
109261992,2013-03-27 20:00:00,12263672,22211
qpkpwdyrfbkc,2013-03-27 23:00:00,1521693,22211
dlgzpcyrfbkc,2013-03-27 23:00:00,1027268,22211
xvgznyrfbkc,2013-03-28 00:00:00,505757,63782
109262702,2013-03-28 20:00:00,12263672,22211
dxbhdfyrfblc,2013-03-28 23:00:00,5598512,55272
111200502,2013-03-30 13:30:00,924837,33104
110793782,2013-03-30 13:45:00,12502472,19875
107937802,2013-03-30 15:00:00,250527,22211
qnpbrfyrfbnc,2013-03-30 16:45:00,1521693,22211
110380622,2013-03-30 23:00:00,1027268,22211
qwtbrfyrfbpc,2013-03-31 19:00:00,1521693,22211
110166162,2013-04-01 23:30:00,11347312,22211
kjzmnyrgbcb,2013-04-02 00:00:00,554311,67696
qsmbpfyrgbdb,2013-04-02 23:00:00,5598512,55272
vmrhnyrgbdb,2013-04-02 23:30:00,250527,22211
qqrzqfyrgbfb,2013-04-03 23:00:00,5598512,55272
xvgznyrgbfb,2013-04-04 00:00:00,505757,63782
qzdnmcyrgbgb,2013-04-04 23:00:00,4693172,22211
dxbhdfyrgbgb,2013-04-04 23:00:00,5598512,55272
qsqkrfyrgbjb,2013-04-06 20:00:00,769515,55272
112873942,2013-04-06 23:00:00,1521693,22211
qlmrqfyrgbkb,2013-04-07 19:00:00,5598512,55272
112460772,2013-04-07 23:00:00,962332,22211
dlkshfyrgbnb,2013-04-11 00:00:00,1471977,22211
qsmbpfyrgbmb,2013-04-09 23:00:00,5598512,55272
dlgzpcyrgbnb,2013-04-10 23:00:00,1027268,22211
xvgznyrgbnb,2013-04-11 00:00:00,505757,63782
dzhdpfyrgbnb,2013-04-11 00:30:00,841815,22211
dmbxsfyrgbpb,2013-04-11 23:00:00,5598512,55272
108268782,2013-04-12 00:00:00,9813772,22211
113176862,2013-04-13 14:45:00,1270595,19875
qnpbrfyrgbrb,2013-04-13 16:45:00,1521693,22211
qwtbrfyrgbsb,2013-04-14 19:00:00,1521693,22211
qqjlsfyrgbsb,2013-04-14 19:30:00,5598512,55272
113522162,2013-04-14 22:00:00,11347312,22211
114163302,2013-04-15 23:00:00,11407742,22211
qsmbpfyrgbvb,2013-04-16 23:00:00,5598512,55272
qqqxrcyrgbvb,2013-04-16 23:00:00,1027268,22211
dlgzpcyrgbwb,2013-04-17 23:00:00,1027268,22211
xvgznyrgbwb,2013-04-18 00:00:00,505757,63782
qzdnmcyrgbxb,2013-04-18 23:00:00,4693172,22211
113421222,2013-04-26 00:00:00,924837,33104
108703502,2013-04-20 00:00:00,1493847,67696
qzhstfyrgbbc,2013-04-20 19:30:00,769515,55272
qzhstfyrgbcc,2013-04-20 19:30:00,769515,55272
111216612,2013-04-21 00:00:00,1292804,45720
95595872,2013-04-21 18:00:00,667729,54258
qqjlsfyrgbcc,2013-04-21 19:30:00,5598512,55272
qpkpwdyrgbgc,2013-04-24 23:00:00,1521693,22211
qsbhvfyrgbdc,2013-04-22 23:00:00,3855382,22211
qsmbpfyrgbfc,2013-04-23 23:00:00,5598512,55272
dlgzpcyrgbgc,2013-04-24 23:00:00,1027268,22211
xvgznyrgbgc,2013-04-25 00:00:00,505757,63782
qffrtfyrgbhc,2013-04-25 23:00:00,5598512,55272
114610822,2013-04-26 15:00:00,5083372,22211
114732352,2013-04-26 17:00:00,5083372,22211
114833252,2013-04-26 20:00:00,5083372,22211
111328902,2013-04-27 00:00:00,879477,67696
114610922,2013-04-27 15:00:00,5083372,22211
qnpbrfyrgbkc,2013-04-27 16:45:00,1521693,22211
qzhstfyrgbkc,2013-04-27 19:30:00,769515,55272
114611082,2013-04-28 15:00:00,5083372,22211
qwtbrfyrgblc,2013-04-28 19:00:00,1521693,22211
qqjlsfyrgblc,2013-04-28 19:30:00,5598512,55272
110855662,2013-04-28 22:30:00,5772722,67696
113351002,2013-04-30 00:00:00,250527,22211
qsmbpfyrgbnc,2013-04-30 23:00:00,5598512,55272
dlgzpcyrhbcb,2013-05-01 23:00:00,1027268,22211
xvgznyrhbcb,2013-05-02 00:00:00,505757,63782
qffrtfyrhbdb,2013-05-02 23:00:00,5598512,55272
qzdnmcyrhbdb,2013-05-02 23:00:00,4693172,22211
qqjlsfyrhbhb,2013-05-05 19:30:00,5598512,55272
107969732,2013-05-06 23:30:00,279780,22211
gpvvqyrhbjb,2013-05-06 23:30:00,250527,61473
vmrhnyrhbkb,2013-05-06 23:30:00,250527,22211
kjzmnyrhbjb,2013-05-07 00:00:00,554311,67696
qfhpzcyrhbkb,2013-05-07 23:00:00,3616212,22211
qsmbpfyrhbkb,2013-05-07 23:00:00,5598512,55272
113728382,2013-05-08 22:30:00,12263672,22211
dlgzpcyrhblb,2013-05-08 23:00:00,1027268,22211
dlkshfyrhblb,2013-05-09 00:00:00,1471977,22211
xvgznyrhblb,2013-05-09 00:00:00,505757,63782
dzhdpfyrhblb,2013-05-09 00:30:00,841815,22211
108268992,2013-05-10 00:00:00,279780,22211
qnpbrfyrhbpb,2013-05-11 16:45:00,1521693,22211
qjbpwfyrhbpb,2013-05-11 20:00:00,769515,55272
106385522,2013-05-12 17:00:00,11347312,22211
qwtbrfyrhbqb,2013-05-12 19:00:00,1521693,22211
qqjlsfyrhbqb,2013-05-12 19:30:00,5598512,55272
xvgznyrhbtb,2013-05-16 00:00:00,505757,63782
qsmbpfyrhbsb,2013-05-14 23:00:00,5598512,55272
dlgzpcyrhbtb,2013-05-15 23:00:00,1027268,22211
qnpbrfyrhbhc,2013-05-25 16:45:00,1521693,22211
dgwlxfyrhbvb,2013-05-16 23:00:00,5598512,55272
qzdnmcyrhbvb,2013-05-16 23:00:00,4693172,22211
qmvlxfyrhbzb,2013-05-19 19:30:00,5598512,55272
97165732,2013-05-18 17:00:00,4786942,54258
qlvlxfyrhbxb,2013-05-18 20:00:00,769515,55272
qsmbpfyrhbcc,2013-05-21 23:00:00,5598512,55272
qqqxrcyrhbcc,2013-05-21 23:00:00,1027268,22211
dlgzpcyrhbdc,2013-05-22 23:00:00,1027268,22211
xvgznyrhbdc,2013-05-23 00:00:00,505757,63782
qlvlxfyrhbhc,2013-05-25 20:00:00,769515,55272
100053462,2013-05-26 10:45:00,938155,19875
qwtbrfyrhbjc,2013-05-26 19:00:00,1521693,22211
qmvlxfyrhbjc,2013-05-26 19:30:00,5598512,55272
qsbhvfyrhbkc,2013-05-27 23:00:00,3855382,22211
114681712,2013-05-29 00:00:00,279780,22211
dlgzpcyrhbmc,2013-05-29 23:00:00,1027268,22211
qpkpwdyrhbmc,2013-05-29 23:00:00,1521693,22211
xvgznyrhbmc,2013-05-30 00:00:00,505757,63782
dhwlbgyrhbnc,2013-05-30 23:00:00,5598512,55272
qzdnmcyrhbnc,2013-05-30 23:00:00,4693172,22211
qlvlxfyrjbcb,2013-06-01 20:00:00,769515,55272
qmvlxfyrjbdb,2013-06-02 19:30:00,5598512,55272
vmrhnyrjbfb,2013-06-03 23:30:00,250527,22211
gpvvqyrjbfb,2013-06-03 23:30:00,250527,61473
kjzmnyrjbfb,2013-06-04 00:00:00,554311,67696
qsmbpfyrjbgb,2013-06-04 23:00:00,5598512,55272
xvgznyrjbhb,2013-06-06 00:00:00,505757,63782
dlgzpcyrjbhb,2013-06-05 23:00:00,1027268,22211
dhwlbgyrjbjb,2013-06-06 23:00:00,5598512,55272
108269152,2013-06-07 00:00:00,261033,22211
qcgtwdyrjbkb,2013-06-07 23:30:00,766443,22211
qnpbrfyrjblb,2013-06-08 16:45:00,1521693,22211
qwrpbgyrjblb,2013-06-08 20:00:00,769515,55272
qwtbrfyrjbmb,2013-06-09 19:00:00,1521693,22211
qmvlxfyrjbmb,2013-06-09 19:30:00,5598512,55272
dlgzpcyrjbqb,2013-06-12 23:00:00,1027268,22211
xvgznyrjbqb,2013-06-13 00:00:00,505757,63782
qzdnmcyrjbrb,2013-06-13 23:00:00,4693172,22211
dhwlbgyrjbrb,2013-06-13 23:00:00,5598512,55272
qwrpbgyrjbtb,2013-06-15 20:00:00,769515,55272
qmvlxfyrjbvb,2013-06-16 19:30:00,5598512,55272
qfhpzcyrjbxb,2013-06-18 23:00:00,3616212,22211
dlgzpcyrjbzb,2013-06-19 23:00:00,1027268,22211
xvgznyrjbzb,2013-06-20 00:00:00,505757,63782
dzhdpfyrjbzb,2013-06-20 00:30:00,1471977,22211
qnpbrfyrjbdc,2013-06-22 16:45:00,1521693,22211
97166662,2013-06-22 17:30:00,957017,54258
qwrpbgyrjbdc,2013-06-22 20:00:00,769515,55272
qwtbrfyrjbfc,2013-06-23 19:00:00,1521693,22211
qsbhvfyrjbgc,2013-06-24 23:00:00,3855382,22211
qdsldgyrjbhc,2013-06-26 00:00:00,279780,22211
qpkpwdyrjbjc,2013-06-26 23:00:00,1521693,22211
dlgzpcyrjbjc,2013-06-26 23:00:00,1027268,22211
xvgznyrjbjc,2013-06-27 00:00:00,505757,63782
qwrpbgyrjbmc,2013-06-29 20:00:00,769515,55272
qfhpzcyrkbdb,2013-07-02 23:00:00,3616212,22211
110540762,2013-06-30 03:00:00,312093,19875
kjzmnyrkbcb,2013-07-02 00:00:00,554311,67696
dlgzpcyrkbfb,2013-07-03 23:00:00,1027268,22211
xvgznyrkbfb,2013-07-04 00:00:00,505757,63782
qcgtwdyrkbhb,2013-07-05 23:30:00,766443,22211
qnpbrfyrkbjb,2013-07-06 16:45:00,1521693,22211
qwrpbgyrkbjb,2013-07-06 20:00:00,769515,55272
qwtbrfyrkbkb,2013-07-07 19:00:00,1521693,22211
gpvvqyrkbcb,2013-07-08 23:30:00,250527,61473
vmrhnyrkbcb,2013-07-08 23:30:00,250527,22211
qsmbpfyrkbmb,2013-07-09 23:00:00,5598512,55272
qfhpzcyrkbmb,2013-07-09 23:00:00,3616212,22211
dlgzpcyrkbpc,2013-07-31 23:00:00,1027268,22211
dlgzpcyrkbnb,2013-07-10 23:00:00,1027268,22211
xvgznyrkbnb,2013-07-11 00:00:00,505757,63782
dlkshfyrkbnb,2013-07-11 00:00:00,1471977,22211
qzdnmcyrkbpb,2013-07-11 23:30:00,261033,22211
qwrpbgyrkbrb,2013-07-13 20:00:00,769515,55272
95589282,2013-07-14 17:00:00,1601416,54258
qsmbpfyrkbvb,2013-07-16 23:00:00,5598512,55272
qqqxrcyrkbvb,2013-07-16 23:00:00,1027268,22211
qfhpzcyrkbvb,2013-07-16 23:00:00,3616212,22211
dlgzpcyrkbwb,2013-07-17 23:00:00,1027268,22211
xvgznyrkbwb,2013-07-18 00:00:00,505757,63782
dzhdpfyrkbwb,2013-07-18 00:30:00,841815,22211
qnpbrfyrkbbc,2013-07-20 16:45:00,1521693,22211
qwrpbgyrkbbc,2013-07-20 20:00:00,769515,55272
qwtbrfyrkbcc,2013-07-21 19:00:00,1521693,22211
qsbhvfyrkbdc,2013-07-22 23:00:00,250527,22211
qsmbpfyrkbfc,2013-07-23 23:00:00,5598512,55272
qnpbrfyrlbfb,2013-08-03 16:45:00,1521693,22211
qfhpzcyrkbfc,2013-07-23 23:00:00,3616212,22211
qdsldgyrkbfc,2013-07-24 00:00:00,279780,22211
dlgzpcyrkbgc,2013-07-24 23:00:00,1027268,22211
xvgznyrkbgc,2013-07-25 00:00:00,505757,63782
qzdnmcyrkbhc,2013-07-25 23:30:00,261033,22211
qsmbpfyrkbnc,2013-07-30 23:00:00,5598512,55272
qfhpzcyrkbnc,2013-07-30 23:00:00,3616212,22211
qpkpwdyrkbpc,2013-07-31 23:00:00,1521693,22211
xvgznyrkbpc,2013-08-01 00:00:00,505757,63782
qcgtwdyrlbdb,2013-08-02 23:30:00,766443,22211
qwtbrfyrlbgb,2013-08-04 19:00:00,1521693,22211
qxmjlgyrlbgb,2013-08-04 19:30:00,5598512,55272
vmrhnyrlbhb,2013-08-05 23:30:00,250527,22211
gpvvqyrlbhb,2013-08-05 23:30:00,250527,61473
kjzmnyrlbhb,2013-08-06 00:00:00,554311,67696
qsmbpfyrlbjb,2013-08-06 23:00:00,5598512,55272
dlgzpcyrlbkb,2013-08-07 23:00:00,1027268,22211
xvgznyrlbkb,2013-08-08 00:00:00,505757,63782
dbdlmgyrlbpb,2013-08-10 17:30:00,769515,55272
dbdlmgyrlbnb,2013-08-10 17:30:00,769515,55272
qxmjlgyrlbpb,2013-08-11 19:30:00,5598512,55272
dpclmgyrlbrb,2013-08-13 23:00:00,5598512,55272
qfhpzcyrlbrb,2013-08-13 23:00:00,3616212,22211
dlgzpcyrlbsb,2013-08-14 23:00:00,1027268,22211
xvgznyrlbsb,2013-08-15 00:00:00,505757,63782
dlkshfyrlbsb,2013-08-15 00:00:00,1471977,22211
qnpbrfyrlbwb,2013-08-17 16:45:00,1521693,22211
qwtbrfyrlbxb,2013-08-18 19:00:00,1521693,22211
qdwgngyrlbxb,2013-08-18 19:30:00,5598512,55272
dpclmgyrlbbc,2013-08-20 23:00:00,5598512,55272
qfhpzcyrlbbc,2013-08-20 23:00:00,3616212,22211
qqqxrcyrlbbc,2013-08-20 23:00:00,1027268,22211
dlgzpcyrlbcc,2013-08-21 23:00:00,1027268,22211
xvgznyrlbcc,2013-08-22 00:00:00,505757,63782
dzhdpfyrlbcc,2013-08-22 00:30:00,841815,22211
dcgvngyrlbdc,2013-08-23 00:00:00,15115412,22211
qpkpwdyrlblc,2013-08-28 23:00:00,1521693,22211
qdwgngyrlbhc,2013-08-25 19:30:00,5598512,55272
qsbhvfyrlbjc,2013-08-26 23:30:00,250527,22211
dlgzpcyrlblc,2013-08-28 23:00:00,1027268,22211
dpclmgyrlbkc,2013-08-27 23:00:00,5598512,55272
qdsldgyrlbkc,2013-08-28 00:00:00,279780,22211
xvgznyrlblc,2013-08-29 00:00:00,505757,63782
dcgvngyrlbmc,2013-08-30 00:00:00,15115412,22211
qwtbrfyrmbcb,2013-09-01 19:00:00,1521693,22211
qnpbrfyrlbpc,2013-08-31 16:45:00,1521693,22211
gpvvqyrmbdb,2013-09-02 23:30:00,250527,61473
vmrhnyrmbdb,2013-09-02 23:30:00,250527,22211
kjzmnyrmbdb,2013-09-03 00:00:00,554311,67696
qzdnmcyrmbhb,2013-09-05 23:30:00,261033,22211
qfhpzcyrmbfb,2013-09-03 23:00:00,3616212,22211
dlgzpcyrmbgb,2013-09-04 23:00:00,1027268,22211
xvgznyrmbgb,2013-09-05 00:00:00,505757,63782
dcgvngyrmbhb,2013-09-06 00:00:00,15115412,22211
dcgvngyrmbqb,2013-09-13 00:00:00,15115412,22211
dlgzpcyrmbpb,2013-09-11 23:00:00,1027268,22211
xvgznyrmbpb,2013-09-12 00:00:00,505757,63782
dlkshfyrmbpb,2013-09-12 00:00:00,1471977,22211
qwtbrfyrmbtb,2013-09-15 19:00:00,1521693,22211
dtmdqgyrmbfc,2013-09-16 23:30:00,250527,22211
dlgzpcyrmbxb,2013-09-18 23:00:00,1027268,22211
xvgznyrmbxb,2013-09-19 00:00:00,505757,63782
dzhdpfyrmbxb,2013-09-19 00:30:00,841815,22211
qzdnmcyrmbzb,2013-09-19 23:30:00,261033,22211
dcgvngyrmbzb,2013-09-20 00:00:00,15115412,22211
qfhpzcyrmbgc,2013-09-24 23:00:00,3616212,22211
qdsldgyrmbgc,2013-09-25 00:00:00,279780,22211
dlgzpcyrnbdb,2013-10-02 23:00:00,1027268,22211
qpkpwdyrmbhc,2013-09-25 23:00:00,1521693,22211
dlgzpcyrmbhc,2013-09-25 23:00:00,1027268,22211
xvgznyrmbhc,2013-09-26 00:00:00,505757,63782
dcgvngyrmbjc,2013-09-27 00:00:00,15115412,22211
qwtbrfyrmbmc,2013-09-29 19:00:00,1521693,22211
qfhpzcyrnbcb,2013-10-01 23:00:00,3616212,22211
dldmtgyrnbcb,2013-10-01 23:30:00,15421462,22211
xvgznyrnbdb,2013-10-03 00:00:00,505757,63782
qzdnmcyrnbfb,2013-10-03 23:30:00,261033,22211
dcgvngyrnbfb,2013-10-04 00:00:00,15115412,22211
dxpdwgyrnbpb,2013-10-12 00:30:00,1521693,22211
dxpdwgyrnbgb,2013-10-05 00:30:00,1521693,22211
gpvvqyrnbkb,2013-10-07 23:30:00,250527,61473
vmrhnyrnbkb,2013-10-07 23:30:00,250527,22211
kjzmnyrnbkb,2013-10-08 00:00:00,554311,67696
qnpbrfyrnbqb,2013-10-12 16:45:00,1521693,22211
dlgzpcyrnbmb,2013-10-09 23:00:00,1027268,22211
dlkshfyrnbmb,2013-10-10 00:00:00,1471977,22211
xvgznyrnbmb,2013-10-10 00:00:00,505757,63782
dcgvngyrnbnb,2013-10-11 00:00:00,15115412,22211
dzhdpfyrnbvb,2013-10-17 00:30:00,841815,22211
dpssxgyrnbtb,2013-10-15 23:00:00,3616212,22211
dldmtgyrnbtb,2013-10-15 23:30:00,15421462,22211
qtjtxgyrnbtb,2013-10-16 00:00:00,1027268,22211
dlgzpcyrnbvb,2013-10-16 23:00:00,1027268,22211
xvgznyrnbvb,2013-10-17 00:00:00,505757,63782
qzdnmcyrnbwb,2013-10-17 23:30:00,261033,22211
dcgvngyrnbwb,2013-10-18 00:00:00,15115412,22211
dpssxgyrnbdc,2013-10-22 23:00:00,3616212,22211
qdsldgyrnbdc,2013-10-23 00:00:00,279780,22211
dlgzpcyrnbfc,2013-10-23 23:00:00,1027268,22211
xvgznyrnbfc,2013-10-24 00:00:00,505757,63782
dmfwzgyrnbgc,2013-10-25 00:00:00,15115412,22211
dxpdwgyrnbhc,2013-10-26 00:30:00,1521693,22211
qnpbrfyrnbjc,2013-10-26 16:45:00,1521693,22211
97166072,2013-10-26 18:00:00,4786942,54258
qgmqsgyrnblc,2013-10-28 23:30:00,250527,22211
qwpgbhyrnbmc,2013-10-29 23:00:00,5598512,55272
dpssxgyrnbmc,2013-10-29 23:00:00,3616212,22211
dlgzpcyrnbnc,2013-10-30 23:00:00,1027268,22211
xvgznyrnbnc,2013-10-31 00:00:00,505757,63782
dwqvzgyrnbpc,2013-11-01 00:00:00,15115412,22211
dxpdwgyrpbcb,2013-11-02 00:30:00,1521693,22211
dbqgbhyrpbdb,2013-11-02 20:00:00,5598512,55272
kjzmnyrpbgb,2013-11-05 01:00:00,554311,67696
dpssxgyrpbhb,2013-11-06 00:00:00,3616212,22211
vmrhnyrpbgb,2013-11-06 00:30:00,250527,22211
dpkmvgyrpbgb,2013-11-06 00:30:00,250527,61473
dlgzpcyrpbjb,2013-11-07 00:00:00,1027268,22211
xvgznyrpbjb,2013-11-07 01:00:00,505757,63782
dwqvzgyrpbkb,2013-11-08 01:00:00,15115412,22211
dxjqbhyrpbkb,2013-11-08 01:00:00,785152,22211
dxpdwgyrpblb,2013-11-09 01:30:00,1521693,22211
qnpbrfyrpbmb,2013-11-09 17:45:00,1521693,22211
dpssxgyrpbqb,2013-11-13 00:00:00,3616212,22211
dwgvchyrpbqb,2013-11-13 00:00:00,5598512,55272
dlgzpcyrpbrb,2013-11-14 00:00:00,1027268,22211
xvgznyrpbrb,2013-11-14 01:00:00,505757,63782
dlkshfyrpbrb,2013-11-14 01:00:00,1471977,22211
